編號,案類,發生(現)日期,發生時段,地點,icon
78,住宅竊盜,1040216,16~18,台北市內湖區西湖里內湖路一段91巷121-150號,ylw_stars
79,住宅竊盜,1040216,22~24,台北市松山區南京東路五段211-240號,ylw_stars
80,住宅竊盜,1040218,04~06,台北市大同區民權里民權西路160巷30弄1-30號,ylw_stars
81,住宅竊盜,1040219,13~15,台北市信義區黎忠里和平東路三段391巷8弄31-60號,ylw_stars
82,住宅竊盜,1040219,16~18,台北市信義區四育里虎林街46巷1-30號,ylw_stars
83,住宅竊盜,1040219,16~18,台北市北投區文林里致遠一路一段125巷1-30號,ylw_stars
84,住宅竊盜,1040219,19~21,台北市信義區四育里虎林街46巷1-30號,ylw_stars
85,住宅竊盜,1040220,04~06,台北市北投區文林里致遠一路一段31-60號,ylw_stars
86,住宅竊盜,1040221,19~21,台北市大安區通化里17鄰通化街39巷62弄1-30號,ylw_stars
87,住宅竊盜,1040222,01~03,台北市文山區樟新里樟新街32巷1-30號,ylw_stars
